lead_id,score,tier,company,phone_e164,phone_display,category,city,address,reviews,rating,hours,sms_body,dedupe_status,source_batch,notes
W04,65,WARM,Cato's Paving,+15103972677,510-397-2677,Asphalt/Paving,Hayward,,,,,"Hi—Bryan w/ NorCal CARB Mobile. In Hayward Sat doing mobile Clean Truck Checks (diesel 14k+ lbs): OBD $75 + OVI smoke opacity, same trip. 24/7. Call before CA does: 916-890-4427",Leads_2026-05-22,,
W05,65,WARM,Estes Express Lines,+15106350165,510-635-0165,LTL Freight,San Leandro,,,,,"Hi—Bryan w/ NorCal CARB Mobile. In San Leandro Sat doing mobile Clean Truck Checks (diesel 14k+ lbs): OBD $75 + OVI smoke opacity, same trip. 24/7. Call before CA does: 916-890-4427",Leads_2026-05-22,,
W06,65,WARM,Saia LTL Freight,+15103476890,510-347-6890,LTL Freight,San Leandro,,,,,"Hi—Bryan w/ NorCal CARB Mobile. In San Leandro Sat doing mobile Clean Truck Checks (diesel 14k+ lbs): OBD $75 + OVI smoke opacity, same trip. 24/7. Call before CA does: 916-890-4427",Leads_2026-05-22,,
W07,65,WARM,DHE Dependable Highway Express,+15103572223,510-357-2223,LTL,San Leandro,,,,,"Hi—Bryan w/ NorCal CARB Mobile. In San Leandro Sat doing mobile Clean Truck Checks (diesel 14k+ lbs): OBD $75 + OVI smoke opacity, same trip. 24/7. Call before CA does: 916-890-4427",Leads_2026-05-22,,
W08,65,WARM,Maguire Tree Care,+16508442046,650-844-2046,Tree Service,San Carlos,,,,,Hi—Bryan w/ NorCal CARB Mobile. Mobile Clean Truck Checks (diesel 14k+ lbs): OBD $75 + OVI smoke opacity. Can route near you this week. 24/7. Call before CA does: 916-890-4427,Leads_2026-05-22,Off core Hayward cluster — call after HOT,
W09,63,WARM,10-4 Tow Of San Leandro,+15106332727,510-633-2727,HD Towing,San Leandro,,,,,"Hi—Bryan w/ NorCal CARB Mobile. In San Leandro Sat doing mobile Clean Truck Checks (diesel 14k+ lbs): OBD $75 + OVI smoke opacity, same trip. 24/7. Call before CA does: 916-890-4427",Leads_2026-05-22,,
W10,60,WARM,Roadstar Trucking Inc,+15104872404,510-487-2404,Trucking,Hayward,,,,,"Hi—Bryan w/ NorCal CARB Mobile. In Hayward Sat doing mobile Clean Truck Checks (diesel 14k+ lbs): OBD $75 + OVI smoke opacity, same trip. 24/7. Call before CA does: 916-890-4427",Leads_2026-05-22,,
W11,60,WARM,Munoz Transport Service,+15103859206,510-385-9206,Trucking,Hayward,,,,,"Hi—Bryan w/ NorCal CARB Mobile. In Hayward Sat doing mobile Clean Truck Checks (diesel 14k+ lbs): OBD $75 + OVI smoke opacity, same trip. 24/7. Call before CA does: 916-890-4427",Leads_2026-05-22,,
W12,60,WARM,American Asphalt R&R,+15107230280,510-723-0280,Asphalt,Hayward,,,,,"Hi—Bryan w/ NorCal CARB Mobile. In Hayward Sat doing mobile Clean Truck Checks (diesel 14k+ lbs): OBD $75 + OVI smoke opacity, same trip. 24/7. Call before CA does: 916-890-4427",Leads_2026-05-22,,
W13,60,WARM,Rose Paving,+15107701150,510-770-1150,Asphalt,Hayward,,,,,"Hi—Bryan w/ NorCal CARB Mobile. In Hayward Sat doing mobile Clean Truck Checks (diesel 14k+ lbs): OBD $75 + OVI smoke opacity, same trip. 24/7. Call before CA does: 916-890-4427",Leads_2026-05-22,,
W14,60,WARM,Malcolm Drilling,+15107809181,510-780-9181,Drilling/Excavation,Hayward,,,,,"Hi—Bryan w/ NorCal CARB Mobile. In Hayward Sat doing mobile Clean Truck Checks (diesel 14k+ lbs): OBD $75 + OVI smoke opacity, same trip. 24/7. Call before CA does: 916-890-4427",Leads_2026-05-22,,
W15,60,WARM,GreenWaste Hayward Transfer,+15106061548,510-606-1548,Waste,Hayward,,,,,"Hi—Bryan w/ NorCal CARB Mobile. In Hayward Sat doing mobile Clean Truck Checks (diesel 14k+ lbs): OBD $75 + OVI smoke opacity, same trip. 24/7. Call before CA does: 916-890-4427",Leads_2026-05-22,,
